Recency,Frequency,Monetary
96,5,2540.29
221,1,367.0
312,1,334.4
275,3,1296.38
97,1,459.4
129,1,481.46000000000004
183,1,6207.67
4,2,1168.06
10,3,3495.73
31,5,2135.79
37,1,299.1
302,1,310.32
213,1,168.9
69,1,938.39
31,1,1527.96
36,1,515.7
343,1,364.6
305,1,230.3
306,1,4008.62
158,1,607.5500000000001
1,5,1845.31
10,2,750.61
30,2,585.27
193,2,401.9
99,2,334.95000000000005
40,2,884.1
154,2,1272.48
6,7,1762.63
244,1,1195.09
3,3,820.6
100,1,84.3
96,1,1621.25
187,1,719.06
153,2,1396.78
66,1,6207.08
253,2,693.3299999999999
193,2,673.45
189,2,319.61
71,10,44582.79
182,4,1572.48
154,1,600.39
216,1,147.7
90,3,548.92
62,2,586.08
33,6,6580.52
455,1,1281.5
3,7,3055.05
90,5,9033.92
336,1,509.01
10,7,2040.81
486,1,173.55
182,1,172.06
1,2,1636.08
68,1,476.49
93,3,2724.58
187,1,96.0
215,2,4927.87
187,3,477.46000000000004
245,1,196.35
126,2,826.88
100,1,762.11
7,1,350.57
284,1,213.89999999999998
219,1,508.95000000000005
152,12,10309.97
153,2,1899.38
61,3,1726.51
4,3,1179.64
220,1,311.2
39,2,3415.19
182,1,680.99
30,2,1952.93
163,3,2070.23
36,4,1185.46
153,3,2017.24
163,1,334.93
97,4,2463.06
334,1,460.40000000000003
154,1,136.82
338,2,210.82
71,3,745.03
163,1,2169.39
189,4,3021.07
91,1,449.4
157,1,46.75
61,1,275.19
245,2,138.03
5,1,583.2
30,4,2085.64
1,3,1207.16
154,1,340.84
38,1,987.42
10,3,398.7
71,4,2962.6
90,2,797.38
130,2,552.64
31,3,1244.68
91,1,349.83000000000004
337,1,1089.18
93,2,716.35
31,1,4279.71
61,1,363.95
71,1,1715.85
40,8,5047.38
61,2,757.44
275,1,372.7
252,1,159.4
334,1,120.0
1,4,1356.57
34,1,312.9
40,3,8183.46
302,1,269.96
312,1,75.60000000000001
243,1,697.7
70,1,238.85
217,2,1304.3700000000001
127,6,4643.61
1,18,2534.95
64,1,248.35
333,1,487.68
131,4,1076.6299999999999
244,2,461.91
160,1,415.7
1,9,5093.2699999999995
158,4,835.94
302,1,144.0
30,1,515.1800000000001
6,2,9864.26
67,2,437.6
220,2,321.8
64,3,850.83
37,1,269.95
96,1,912.66
30,4,1200.32
34,4,636.3
30,3,884.02
40,3,325.46
1,1,153.12
62,1,1579.51
188,1,512.8
217,1,946.75
161,1,315.6
152,2,1079.8
216,1,457.7
61,1,355.53
183,2,871.84
6,5,3424.84
130,1,305.1
6,1,967.2
184,2,2440.39
184,3,2441.14
183,3,786.46
1,2,434.43
32,2,1689.18
93,4,3630.15
183,1,671.69
40,5,3094.14
306,1,477.91
183,2,893.9200000000001
213,1,615.28
32,7,2260.07
126,1,318.05
36,1,375.0
182,1,314.44
101,1,114.0
10,1,919.98
303,1,171.23000000000002
61,1,91.68
90,5,1618.21
1,4,2294.8
1,1,620.13
4,2,1607.73
61,2,1273.54
243,1,389.62
93,2,993.8000000000001
125,3,800.15
219,2,2073.52
1,2,906.38
32,2,361.83
34,7,5368.29
3,16,7288.08
6,10,4300.7
67,3,916.26
30,3,2019.54
639,1,89.14
247,1,511.03
1,2,479.5
6,2,454.01
95,1,439.5
245,2,248.2
30,1,223.68
128,4,4939.99
37,1,337.08
244,3,1120.85
129,2,2319.67
61,4,792.87
1,6,4051.34
246,2,430.06
10,8,2680.03
90,1,848.55
182,1,375.59000000000003
34,2,1030.98
215,2,644.95
4,13,3029.32
95,4,2026.6299999999999
4,1,302.92
182,3,376.69
40,2,363.14
639,1,427.8
30,3,1363.9
216,4,1903.54
40,1,252.54
36,3,2705.2
193,1,319.77
40,1,234.0
666,1,155.35
335,1,975.54
154,1,427.6
221,3,8209.58
152,5,2226.18
5,106,14154.13
67,4,3518.29
278,1,275.88
100,4,12940.51
161,2,61.62
252,2,3811.95
5,6,3439.82
130,1,1570.19
99,1,444.8
302,1,1436.93
578,1,320.08
101,3,2554.2000000000003
31,1,892.47
280,2,634.25
96,2,255.93
221,5,2298.15
154,1,277.48
213,1,252.25
152,2,622.84
425,1,311.95
93,1,186.56
215,1,91.85
698,1,192.60000000000002
101,2,545.48
305,1,317.0
455,1,254.03
188,1,427.58
127,3,483.65000000000003
216,1,253.55
283,1,166.04
182,1,210.35000000000002
97,1,92.72
246,1,229.5
31,1,397.12
61,3,577.1
153,2,212.4
152,5,907.51
163,1,207.25
93,3,2258.56
153,2,383.03
311,1,312.38
31,3,2161.73
183,2,683.13
96,5,2203.66
66,2,1296.7
5,13,2167.8
253,1,310.73
67,5,1282.36
61,2,325.96000000000004
122,1,346.39
246,1,135.18
7,1,420.46999999999997
667,1,38.1
30,3,870.96
70,1,801.6
125,1,981.38
342,1,559.12
97,2,1124.54
10,4,1176.3400000000001
455,1,378.53000000000003
311,1,374.0
364,1,293.76000000000005
156,4,376.56
93,1,140.5
99,1,298.0
183,1,471.84000000000003
32,1,291.63
2,1,309.05
125,3,1175.22
250,2,1378.4
97,1,81.36
158,2,289.0
91,1,188.14
39,1,128.8
36,6,1621.92
7,2,1286.6200000000001
152,2,804.24
39,4,1401.49
667,1,199.65
278,1,594.0
3,3,676.82
36,20,7377.78
338,1,405.38
184,1,176.97
2,2,508.23
213,1,325.74
7,2,980.26
343,1,117.85
33,5,35265.76
342,1,110.75
151,2,343.78
38,4,6397.92
455,1,258.75
244,1,317.56
66,4,950.12
31,2,660.6700000000001
91,5,3025.07
152,2,1531.4
221,2,467.48
243,1,297.73
121,5,2505.06
192,1,108.07
188,2,1000.2
302,1,95.85000000000001
333,2,630.45
32,1,771.91
639,1,1368.4
302,2,428.44
10,35,3877.92
6,1,738.6
187,1,39.239999999999995
10,5,4082.94
61,1,185.04
37,1,390.54
30,2,1239.38
2,7,2961.31
122,3,409.5
33,1,197.1
33,2,621.82
2,1,307.92
129,1,320.28000000000003
425,1,201.75
127,5,3717.6800000000003
34,2,89.05000000000001
71,7,2364.39
160,1,321.65
666,1,50.550000000000004
67,2,330.12
36,10,4000.44
153,4,1434.08
129,3,979.37
125,1,425.25
302,1,204.0
91,8,2116.4
128,3,952.83
184,2,689.9
99,5,975.36
157,2,1536.0
91,1,474.29999999999995
547,1,427.74
578,1,165.86
250,1,326.9
96,1,196.66
183,2,676.99
38,1,516.42
336,1,305.28000000000003
91,1,431.59
122,7,1697.41
184,1,502.90000000000003
64,5,1911.92
36,1,348.15000000000003
67,1,344.86
1,2,137.70000000000002
251,1,183.4
339,1,346.98
2,2,639.03
698,1,205.86
153,1,151.81
3,14,2825.74
306,1,919.61
120,2,465.55
1,10,4629.86
93,2,65.7
61,6,17893.61
217,3,1747.54
213,1,111.36
218,1,137.98000000000002
7,37,27867.5
122,6,4099.54
30,1,345.82
6,2,151.0
99,4,3470.34
39,8,1134.24
94,3,1944.28
34,17,19025.14
335,1,207.35999999999999
40,13,3843.97
182,1,339.48
71,1,566.84
667,1,350.06
31,2,786.54
122,3,781.88
6,11,4756.24
1,2,1779.6200000000001
64,5,664.71
185,1,18.72
32,2,2610.01
69,5,1126.69
185,1,64.0
219,1,324.9
38,2,109.8
96,1,360.04
36,1,574.46
30,4,2019.3
667,1,193.23
128,3,1887.38
486,1,159.51
97,1,360.18
40,1,110.95
93,3,499.72
91,2,356.40000000000003
61,5,1698.09
243,1,486.22
183,2,468.96
7,1,300.12
3,3,944.65
333,1,282.56
94,3,1139.86
342,1,417.2
276,2,416.76
275,1,346.53000000000003
154,2,712.88
213,2,353.65
578,1,1415.97
184,1,282.45
97,3,1465.06
101,4,1799.42
34,5,845.53
155,2,1301.94
192,1,236.02
216,1,447.62
92,1,117.88
33,3,1824.44
122,13,2863.76
217,1,319.32
33,2,309.86
4,1,197.52000000000004
1,4,692.14
91,4,2330.79
155,1,353.48
215,1,775.94
92,2,291.47
96,2,548.6
94,2,137.02
247,1,62.63999999999999
158,2,643.09
34,2,2155.95
62,3,3428.0
38,1,108.21000000000001
60,7,1567.12
5,3,473.83
163,1,304.24
36,1,1031.07
246,2,334.11
67,2,104.0
124,1,121.74000000000001
156,2,465.68
124,2,419.57000000000005
187,2,1030.4
698,1,225.7
92,1,292.32
92,1,557.62
6,13,2727.1
2,4,1802.3
61,5,1601.99
10,11,2592.29
7,3,843.88
2,8,2941.9900000000002
486,1,590.0
303,1,217.38
32,2,276.56
154,2,590.9300000000001
94,2,422.85
281,1,344.70000000000005
31,2,93.66
338,1,796.83
157,1,361.11
334,1,329.37
251,2,873.74
276,2,1638.8999999999999
121,1,360.0
248,2,306.99
156,1,63.75
38,6,1086.21
33,1,15.0
2,3,1007.09
29,1,314.38
4,2,598.57
128,3,934.04
121,2,276.32
303,1,1514.17
245,1,959.7
120,3,640.76
61,15,6712.74
67,2,508.61
153,3,530.25
32,5,4649.83
158,4,2084.42
122,2,789.0
124,2,805.11
162,2,2731.84
218,1,487.02
130,1,3678.03
161,3,2543.72
183,1,233.76
245,1,373.94
62,1,397.97999999999996
94,1,674.7
154,1,439.56
129,1,768.83
183,2,2225.37
193,1,35.400000000000006
455,1,308.28000000000003
639,1,754.87
32,1,378.64
62,3,3312.25
2,1,778.65
336,1,249.76
304,1,299.53
32,2,1177.98
252,1,222.99
91,2,1305.44
34,4,1218.27
158,1,307.72
61,1,973.72
96,2,678.62
247,2,621.23
36,2,252.49
4,22,10221.25
219,1,140.4
218,1,467.7
213,1,404.83
36,11,3642.99
154,1,221.06
184,1,2626.3
32,5,2017.32
33,2,464.86
62,1,165.72
2,2,1269.1
246,1,72.84
217,3,1137.28
121,1,196.89
122,4,2374.81
93,1,296.64
183,2,654.01
220,4,1423.26
32,4,1289.34
5,3,1852.51
486,1,692.94
154,2,884.7600000000001
7,8,5803.16
61,1,75.98
334,1,560.8
341,1,151.5
1,1,674.68
127,1,307.9
275,1,782.46
1,21,3397.3
336,1,49.5
121,2,985.1800000000001
40,2,422.64
189,2,525.26
283,1,727.6
6,2,421.59
215,1,140.34
7,1,313.8
157,2,819.61
67,1,215.65
10,4,4038.12
218,1,51.36
40,5,655.48
97,2,676.1
99,1,439.28
343,1,316.26000000000005
244,3,1483.39
311,2,348.05
61,1,323.62
94,2,668.8
69,1,74.56
184,1,295.93
578,1,301.12
182,2,842.69
68,1,110.97
38,3,265.3
96,3,1239.67
217,1,205.1
190,1,203.4
31,1,516.24
1,3,1592.45
121,2,805.77
91,1,125.80000000000001
183,2,1545.79
250,1,159.20000000000002
221,1,282.88
32,3,921.09
486,1,305.45
183,1,210.31
66,1,124.14999999999999
131,7,1746.18
121,2,1009.0
33,4,728.55
284,1,164.1
68,2,682.41
4,3,370.2
125,3,909.34
30,2,584.06
92,3,445.93
302,1,174.37
128,1,141.85999999999999
129,1,603.27
546,1,540.0
101,1,110.17999999999999
517,1,118.32
68,1,239.49
124,5,983.75
1,1,147.41
61,8,3233.78
7,2,728.45
578,1,164.70000000000002
284,1,118.0
157,1,781.03
192,1,142.4
154,1,712.4
30,4,1043.85
4,2,513.41
184,1,340.9
67,2,138.39
163,1,559.85
243,1,285.44
7,11,3283.43
6,1,373.2
184,1,428.89
60,3,280.53999999999996
68,2,235.2
32,1,535.08
32,1,302.15
5,1,131.10999999999999
91,2,342.84999999999997
341,1,257.23
31,1,304.29
91,5,3604.0
127,3,984.6999999999999
336,1,52.5
68,1,261.58
37,2,466.29
276,1,1071.03
94,3,657.27
219,1,262.25
128,1,354.8
122,3,519.44
33,1,252.1
486,1,197.8
2,3,792.58
244,1,15.0
547,1,308.8
37,2,798.24
7,1,383.65
193,1,162.70000000000002
36,1,305.24
62,1,20.6
37,9,2249.39
39,2,186.39000000000001
153,1,213.6
34,1,178.38000000000002
34,1,232.6
121,3,3029.9700000000003
157,2,531.08
219,1,59.5
62,5,2519.15
66,1,72.0
154,1,910.0
31,1,172.25
67,1,14.95
67,18,19940.56
3,9,1724.47
334,1,151.29999999999998
157,1,308.58000000000004
7,3,719.98
1,3,650.53
302,2,507.32
70,1,330.79
182,8,3079.64
122,1,180.48
220,2,252.06
160,1,228.84
224,5,1079.34
153,2,389.25
160,1,192.5
183,1,330.79
275,1,524.14
311,1,1463.47
189,1,199.85000000000002
162,2,1168.63
334,1,786.98
30,2,333.48
275,2,377.7
338,1,306.75
160,2,610.59
30,1,491.86
243,1,374.37
96,2,363.13
32,5,954.87
2,4,916.68
216,1,263.2
698,1,79.6
160,4,800.8
163,1,325.44
97,5,887.2900000000001
34,1,126.6
154,3,759.66
62,8,3326.6400000000003
101,5,1784.37
183,1,99.0
220,1,306.72
154,1,1714.96
193,1,499.89
34,17,8407.1
94,6,1670.8000000000002
184,3,2041.2
183,2,903.71
90,18,12215.31
302,1,243.73000000000002
282,1,127.84
156,2,269.14
40,6,1123.47
517,1,230.39999999999998
425,1,106.4
213,1,348.8
247,1,579.0
245,1,120.95
2,29,21790.46
284,1,558.32
245,1,324.8
343,1,969.74
91,4,862.25
306,1,500.24
154,1,256.38
517,1,112.6
155,4,1591.56
162,1,155.05
30,1,246.01
96,1,333.0
184,1,139.88
32,1,292.24
124,1,961.58
184,1,371.69
60,1,254.28
39,2,732.05
243,1,163.62
93,1,650.42
7,3,1371.28
220,2,719.3
279,1,384.8
128,2,537.34
6,1,157.54000000000002
243,2,450.25
341,1,85.0
1,6,2137.09
184,1,312.98
37,1,252.53
124,2,640.0
306,1,1595.48
216,2,2405.14
2,11,3696.87
96,1,124.60000000000001
121,1,319.45
40,3,1026.16
190,1,305.78
1,2,277.44
122,2,561.3
302,2,3192.54
125,1,1519.99
152,1,152.75
69,3,1392.0
3,3,389.6
39,2,724.85
154,1,122.7
188,4,837.74
37,9,9414.78
91,3,435.34000000000003
220,3,762.37
32,5,787.6
280,1,107.65
3,2,605.63
124,1,416.90000000000003
121,5,913.1500000000001
160,2,395.73
312,1,160.85
30,2,1655.77
69,1,298.5
95,1,8.5
248,1,1561.0900000000001
303,1,131.52
97,3,1461.61
128,3,867.47
275,1,321.07
339,1,65.38
31,2,384.81
121,2,474.73
64,3,298.13
122,1,131.22
216,2,1237.53
244,1,71.66
343,1,184.5
184,1,225.24
32,2,2123.16
215,1,90.6
152,3,1359.04
160,1,179.30999999999997
189,1,1208.31
69,2,911.32
121,1,212.51
126,2,322.96
68,2,330.45
282,2,337.44
129,1,117.6
253,3,548.86
31,9,4016.98
31,2,703.36
122,5,2374.52
62,1,200.14
455,1,428.6
1,7,1279.38
217,3,689.38
1,8,3181.1
215,1,369.40999999999997
67,1,311.3
91,1,76.8
32,2,845.3
182,2,924.21
129,1,310.45
30,5,1586.57
6,1,635.66
698,1,301.24
187,1,224.79
246,2,957.0
128,1,187.16
7,1,357.65
161,1,328.8
99,1,118.5
338,1,976.58
305,1,416.24
2,1,331.14
6,2,433.0
282,2,584.07
64,2,327.7
62,1,104.82
154,1,302.46
32,7,1816.81
192,8,7549.67
7,5,1202.68
218,2,473.90999999999997
30,1,300.32
425,1,111.8
183,1,152.2
10,5,2148.57
284,1,173.74
193,3,1251.75
163,3,647.37
162,1,409.93
248,1,226.93
122,1,260.38
31,10,6933.570000000001
156,2,260.25
215,1,92.46
36,11,3969.87
32,5,1160.15
71,6,1970.1200000000001
93,2,1965.5
6,3,722.87
154,2,374.7
122,3,307.11
153,1,151.04
213,1,316.78
306,1,122.47
66,2,227.9
67,3,491.46
156,1,375.1
153,1,45.599999999999994
70,2,934.52
425,1,182.25
38,5,811.3
99,6,1338.71
152,1,194.42
278,4,12777.66
276,4,1013.25
61,6,19798.67
275,1,147.35
33,4,1206.43
243,2,467.8
126,1,104.95
246,3,1288.15
91,1,306.58
2,6,2853.15
7,2,142.5
99,2,1365.42
182,1,471.9
38,1,191.39999999999998
64,4,1169.82
31,3,2251.67
30,1,1111.08
302,1,62.5
94,2,572.11
62,1,331.96
121,3,519.91
4,7,2261.71
306,2,287.64
40,10,3307.25
121,2,982.3800000000001
122,2,935.05
31,2,425.82000000000005
698,1,311.81
187,3,2851.2
333,1,1225.16
281,1,446.62
244,1,352.46000000000004
1,24,37347.95
216,3,1231.43
128,3,1110.52
65,1,909.6
99,1,122.53999999999999
10,1,148.35
305,1,363.79
250,1,114.04
183,1,134.46
31,1,2016.31
517,1,159.55
216,2,191.33
30,5,1243.56
61,11,2091.27
245,1,452.89
10,1,197.65
91,4,1426.76
61,6,1974.68
64,5,1584.07
276,1,430.85
31,4,1602.2
341,1,828.4
220,1,185.39999999999998
62,3,355.12
152,1,161.03
185,1,151.74
40,3,1017.23
254,2,668.61
246,1,220.04000000000002
32,1,1070.48
91,3,765.4
188,2,342.16
182,3,1046.3600000000001
40,9,973.6899999999999
213,1,89.94
190,1,319.42
254,3,1102.8
124,2,686.23
128,1,251.01999999999998
30,2,337.02000000000004
129,1,304.33000000000004
71,1,456.97
96,1,307.76
188,1,310.79
6,2,858.25
91,1,209.48
218,2,1538.31
666,1,189.3
698,1,161.0
160,5,1161.3
91,1,663.49
96,1,213.70000000000002
129,5,1184.56
250,1,688.35
129,1,449.64
191,1,136.76999999999998
32,3,1904.05
121,1,482.28000000000003
425,1,523.86
125,4,2479.58
32,5,7609.18
61,3,1124.36
126,2,333.97
10,1,492.65000000000003
37,2,218.7
5,2,778.54
36,1,1637.43
122,4,1178.4
91,1,343.15
303,1,300.6
37,1,2050.08
333,1,93.35
67,1,426.6
7,2,225.78
276,1,728.5
33,5,2478.31
2,4,1430.06
162,3,815.1700000000001
62,2,710.1
91,10,16044.25
1,4,1647.72
340,1,383.45
2,4,1895.36
30,5,1446.41
37,1,310.26
38,5,1047.19
126,3,652.35
184,1,508.58000000000004
40,1,352.51
71,1,326.82
37,1,183.85
38,1,578.02
156,1,79.0
245,1,466.3
276,1,415.2
69,3,1017.01
246,1,359.25
130,2,764.45
338,1,8.25
37,1,309.52
220,1,134.7
128,3,688.81
122,1,91.03999999999999
99,4,604.13
334,1,108.97999999999999
33,1,759.14
69,1,282.93
38,3,464.94000000000005
128,1,90.6
91,2,163.62
455,1,174.4
122,4,2128.23
6,3,1763.8
34,9,4814.65
158,1,257.68
339,1,302.45
184,2,1005.6
153,1,840.82
64,6,2281.92
215,2,1043.46
6,3,1097.16
219,1,67.95
61,6,2135.23
215,2,487.99
5,8,1405.1
66,5,1718.14
189,3,1180.01
183,2,260.28
3,1,156.75
130,1,357.18
185,3,1459.14
94,3,519.6
124,4,354.21999999999997
312,1,1063.0
364,1,122.7
93,2,359.9
66,7,3283.72
182,1,897.35
62,4,607.66
335,1,387.52
6,1,455.18
90,1,382.01
220,1,265.2
130,3,1719.33
154,1,321.74
275,2,710.71
70,1,470.36
32,3,671.28
62,3,552.0
305,1,89.06
455,1,63.0
192,1,131.9
333,2,1273.95
90,2,646.26
312,2,608.4
30,3,657.4
252,1,265.0
424,1,102.35000000000001
160,3,714.7
5,2,322.22
62,1,302.59
155,1,127.37
308,1,119.93
32,3,1465.0
312,1,113.64
157,1,1837.92
312,1,30.0
33,7,1446.82
305,1,220.2
70,3,1058.6200000000001
61,5,1832.45
65,3,651.16
311,1,85.0
131,2,622.17
127,1,358.0
455,1,174.4
91,3,827.27
283,1,137.1
334,1,165.75
32,2,555.3199999999999
276,1,1064.28
667,1,127.2
91,3,1602.54
64,1,40.599999999999994
343,2,538.8100000000001
284,1,475.37
188,1,147.02
191,1,126.02000000000001
2,2,305.85
96,1,184.28
183,3,943.53
182,2,770.87
68,2,408.15
67,4,2969.98
245,3,1250.45
128,3,615.31
32,1,137.56
124,3,875.33
219,1,148.95999999999998
10,2,907.49
220,3,1349.07
183,1,78.0
184,1,174.37
121,1,105.60000000000001
124,1,482.07
122,2,321.95
32,2,1451.63
2,19,3456.48
303,1,364.21999999999997
62,1,261.62
155,3,1399.21
32,4,1062.08
3,10,2442.42
62,3,2864.19
184,1,281.75
284,1,195.9
1,3,319.1
158,1,103.25
30,8,1633.68
221,2,1061.28
182,3,957.6
4,1,326.4
343,1,289.24
34,1,165.07
183,4,717.79
70,1,197.94
60,10,1027.95
127,1,222.07
61,8,1974.31
216,1,538.8000000000001
337,1,800.76
121,1,227.39
252,2,218.06
182,1,135.05
36,4,1016.47
666,1,35.400000000000006
364,1,346.90000000000003
182,1,168.63
158,2,404.73
95,1,354.01
130,1,237.36
10,7,1293.47
639,1,39.75
67,1,250.22
183,2,425.25
302,2,379.83
92,1,141.75
339,1,165.1
162,1,393.33000000000004
69,1,660.0
6,38,5057.57
275,1,1000.0
60,3,1198.2
37,1,158.4
193,1,211.8
129,1,394.44
342,1,235.35
91,4,1482.66
127,1,320.58000000000004
153,2,367.52
31,1,210.25
94,2,1595.3
37,2,671.96
213,1,354.18
275,1,309.66
33,2,754.1
31,2,802.3100000000001
1,1,96.12
276,1,643.26
99,2,597.09
3,28,87617.39
36,3,1098.21
6,2,654.6
121,4,1229.72
333,2,1173.47
342,1,133.11
156,2,222.86
243,1,124.01
189,4,840.8199999999999
30,2,514.82
183,1,389.04
32,3,1498.44
69,13,4831.65
7,3,1269.99
252,2,411.53
163,1,285.28000000000003
182,3,1044.94
122,2,933.6
64,7,13441.85
6,1,393.95
219,1,31.200000000000003
128,2,519.26
4,10,3229.3
34,1,216.71
36,3,1619.94
3,5,1465.45
220,2,188.60999999999999
121,1,157.16
97,1,109.13000000000001
153,2,1513.75
190,2,528.89
101,9,1666.21
5,1,110.12
126,3,1126.37
91,7,2611.89
31,1,172.91
93,4,964.91
61,1,495.6
61,7,1908.8999999999999
10,2,485.25
62,3,947.1
32,3,663.81
275,3,419.39
69,1,268.58
698,1,313.49
121,4,1378.02
36,1,127.66
2,7,2367.39
40,3,3901.83
182,3,767.29
182,2,730.55
6,3,630.33
185,6,3392.32
342,1,521.1
667,1,184.5
31,2,308.75
127,1,341.07
251,1,328.2
36,5,1415.75
101,1,488.46000000000004
213,1,755.12
1,2,255.9
60,1,158.61
67,3,960.07
247,1,133.20000000000002
152,1,341.96999999999997
1,2,717.0
219,1,214.56
247,2,730.86
252,1,38.0
302,1,310.99
30,1,197.64
3,2,428.62
154,1,6.2
91,3,531.11
34,7,3536.6600000000003
312,1,75.68
31,7,2765.19
92,1,193.14
99,1,188.64
333,1,353.27
65,2,443.06
101,3,463.64
578,2,155.43
275,2,778.5
161,1,580.79
184,1,187.35
183,1,139.1
486,1,48.800000000000004
5,1,110.78
93,2,497.41
32,6,976.08
163,1,582.0
61,3,549.1899999999999
1,2,529.55
30,2,79.05
32,1,303.94
31,2,1169.69
216,3,1901.52
7,3,2521.01
3,15,4256.8
343,1,325.75
1,3,1692.88
6,1,214.5
69,2,655.36
3,1,339.3
275,2,308.11
31,1,650.6
61,1,266.76
302,2,52.2
31,4,6181.32
158,3,710.28
33,5,1806.42
333,1,334.39
182,1,167.63
5,2,254.01
158,1,234.07
183,1,247.9
6,1,310.56
341,1,364.8
163,1,135.9
219,1,449.38
61,10,4899.95
455,1,257.22
2,2,789.96
70,2,266.85
2,5,784.01
156,3,1725.35
152,1,628.48
218,1,307.6
30,4,2187.35
122,2,212.44
1,75,59175.7
160,1,482.78999999999996
38,3,926.56
93,2,307.48
155,1,266.48
126,1,765.4200000000001
36,2,977.77
91,1,413.06
129,1,310.05
152,1,223.88
69,1,1104.13
213,1,198.4
455,1,363.53
311,1,828.84
99,6,4640.5
337,1,759.56
61,7,2711.94
337,1,178.5
250,2,360.76
2,5,3717.92
129,2,392.28
128,2,401.82
333,1,132.97
93,3,2087.12
96,2,604.59
190,1,206.21
246,2,599.0
91,1,147.59
304,2,917.06
244,2,500.21
278,1,114.77
303,1,114.39
69,1,115.57000000000001
160,1,102.12
5,1,110.17999999999999
455,1,163.2
6,1,334.54
252,2,233.23000000000002
2,1,278.4
7,1,183.64
224,2,893.15
101,11,2423.07
279,1,156.91
244,1,308.94
698,1,191.06
183,1,125.58
334,3,496.21000000000004
187,4,941.4300000000001
130,5,3378.25
30,6,1072.12
183,1,377.01
161,1,108.97999999999999
91,2,411.9
333,2,300.67
90,3,557.18
486,2,2770.6
125,3,380.34
30,3,1643.96
32,1,252.73000000000002
1,6,705.49
71,20,8524.26
122,1,537.0
7,6,2619.79
34,1,346.76
70,7,2622.5
215,3,315.97
38,1,121.17000000000002
4,1,377.74
187,3,697.79
99,1,358.5
68,4,767.59
101,2,381.89
333,1,16.61
6,28,31902.3
189,1,353.06
67,1,370.79999999999995
303,1,299.38
311,1,848.05
667,1,106.2
99,2,982.07
158,2,861.96
94,11,3272.2200000000003
36,3,528.32
215,2,191.45
283,1,306.94
276,1,864.19
185,2,1580.61
253,1,381.32
276,1,480.71
128,2,457.81
224,2,1844.13
213,1,248.08
66,3,39916.5
71,3,876.0
333,1,215.25
122,1,411.68
311,1,374.64
276,1,541.03
6,2,637.38
40,4,243.5
188,2,432.05
129,1,484.95
217,1,206.9
61,3,1567.48
39,6,1860.49
33,2,675.73
129,1,266.4
302,1,1129.84
339,1,90.75
62,2,375.0
215,1,406.53
62,3,1096.6
217,2,509.7
39,2,657.72
67,3,505.27000000000004
152,3,839.8
163,1,122.10000000000001
1,6,3023.9
212,2,580.59
153,5,2067.45
62,5,2079.93
122,1,329.25
120,3,961.49
126,2,850.61
32,14,6671.65
254,2,648.26
698,1,487.75
10,1,1289.5
333,1,376.1
341,1,102.0
517,1,87.5
245,1,254.48
126,1,252.37
61,2,406.76
36,8,2001.52
7,18,6206.29
3,3,1044.32
62,1,499.32
122,8,4224.03
152,1,3861.0
341,1,216.75
124,2,193.64
31,3,964.65
190,3,632.47
343,1,211.94
247,1,476.29999999999995
99,2,201.29999999999998
120,3,546.6
62,2,894.4100000000001
7,1,101.8
37,5,1068.19
246,1,300.04
189,1,647.75
252,1,316.11
486,1,403.25
251,1,300.85
364,1,11.6
312,1,154.41
128,3,594.33
245,2,2133.2599999999998
130,1,197.0
160,7,1121.97
121,1,83.6
61,3,1071.99
7,3,1045.38
96,5,1119.71
215,2,631.57
219,1,486.24
94,1,356.0
3,7,3636.29
4,4,6339.32
96,2,740.78
2,2,466.75
247,1,300.36
245,1,890.85
342,1,317.15
189,1,315.66
188,3,808.38
184,1,393.74
34,1,793.88
